Name,Description,Category,Lat-Deg,Lat-Min,Lat-Sec,Lat-Dir,Lon-Deg,Lon-Min,Lon-Sec,LonDir,Notes,
PMO BATANGAS,,,,,,,,,,,,
Port of Batangas - BP,Sta. Clara Batangas City,Sea Port,13,45,0,N,121,3,0,E,changed from 15,
Port of Alabat,"Alabat, Quezon",Sea Port,,,,,,,,,,
Port of Ambulong,"Magdiwag, Romblon Sibuyan Island",Sea Port,,,,,,,,,,
Port of Atimonan,"Atimonan, Quezon",Sea Port,,,,,,,,,,
Port of Balanacan,"Mogpog, Marinduque",Sea Port,13,31.9,0,N,121,52,0,E,,
Port of Bauan,"Bauan Aplaya, Batangas",Sea Port,13,46,80,N,121,1,0,E,,
Port of Burdeos,"Brgy. San Rafael, Burdeos Quezon , Polillo Island",Sea Port,,,,,,,,,,
Port of Calatagan,"Calatagan, Batangas",Sea Port,,,,,,,,,,
Port of Cawit (Boac),"Boac, Marinduque",Sea Port,,,,,,,,,,
Port of Cotta,"Brgy. Cotta, Lucena City",Sea Port,,,,,,,,,,
Port of Gumaca (Villa Bota),"Brgy. Villabota, Gumaca, Quezon",Sea Port,,,,,,,,,,
Port of Jomalig,"Jomalig, Quezon Polillo Island",Sea Port,,,,,,,,,,
Port of Lopez,"Lopez, Quezon",Sea Port,,,,,,,,,,
Port of Lucena (Dalahican),"Brgy. Talao-Talao, Lucena City",Sea Port,13,54,13,N,121,37,36,E,,
,Dalahican Ferry Terminal,Sea Port,,,,,,,,,,
Port of Mauban,"Poblacion, Mauban Quezon",Sea Port,,,,,,,,,,
Port of Mulanay,"Malunay, Quezon",Sea Port,,,,,,,,,,
Port of Nasugbu,"Brgy. Wawa, Nasugbu, Batangas",Sea Port,,,,,,,,,,
Port of Pagbilao,,Sea Port,,,,,,,,,,
Port of Panukulan,"Panukulan, Quezon Polillo Island",Sea Port,,,,,,,,,,
Port of Patnanungan,"Patnanungan, Quezon",Sea Port,,,,,,,,,,
Port of Poctoy (Odiongan),"Brgy. Batiano, Odiongan, Romblon",Sea Port,12,25,0,N,121,59,0,E,,
Port of Polilio,"Polillo, Quezon",Sea Port,,,,,,,,,,
Port of Real,"Brgy. Ungos, Real Quezon",Sea Port,,,,,,,,,,
Port of Romblon,"Romblon, Romblon",Sea Port,12,35,0,N,122,16,0,E,,
Port of San Andres,"San Andres, Quezon",Sea Port,,,,,,,,,,
Port of San Agustin,"San Agustin, Romblon",Sea Port,,,,,,,,,,
Port of San Juan,"Brgy. Subukin, San Juan Batangas",Sea Port,,,,,,,,,,
Port of Sta. Cruz,"Brgy. Buyabod, Sta. Cruz Marinduque",Sea Port,13,28,0,N,122,3,0,E,,
PMO CAGAYAN DE ORO,,,,,,,,,,,,
Port of Cagayan de Oro,"Brgy. Macabalan, Cagayan de Oro City",Sea Port,8,29.2,0,N,124,40.7,0,E,,
"Port of Benoni, TMO Benoni","Benoni, Municipality of Mahinog, Camiguin",Sea Port,,,,,,,,,,
"Port of Balbagon, TMO Benoni","Balbagon, Municipality of Mambajao, Camiguin",Sea Port,,,,,,,,,,
"Port of Guinsiliban, TMO Benoni","Poblacion, Municipality of Guinsiliban, Camiguin",Sea Port,,,,,,,,,,
"Port of Balingoan, TMO Balingoan","Municipality of Balingoan, Misamis Oriental",Sea Port,9,0,0,N,124,51,0,E,,
Port of Opol,,Sea Port,,,,,,,,,,
PMO CALAPAN,,,,,,,,,,,,
Port of Calapan,"Calapan City, Oriental Mindoro 5200",Sea Port,13,25.8,0,N,121,11.8,0,E,,
Port of Roxas,"Dangay, Roxas, Oriental Mindoro",Sea Port,12,35,30,N,121,30,45,E,12-35-30.00” N and longitude 121-30-45.00”E,
