Name,Description,Category,Lat-Deg,Lat-Min,Lat-Sec,Lat-Dir,Lon-Deg,Lon-Min,Lon-Sec,LonDir,Notes,
PMO BATANGAS,,,,,,,,,,,,
Port of Batangas - BP,Sta. Clara Batangas City,Sea Port,13,45,0,N,121,3,0,E,changed from 15,
Port of Alabat,"Alabat, Quezon",Sea Port,14.100333,0,0,N,122.01011,0,0,E,,
Port of Ambulong,"Magdiwag, Romblon Sibuyan Island",Sea Port,12.494782,0,0,N,122.489135,0,0,E,,
Port of Atimonan,"Atimonan, Quezon",Sea Port,14.000536,0,0,N,121.928735,0,0,E,,
Port of Balanacan,"Mogpog, Marinduque",Sea Port,13,31.9,0,N,121,52,0,E,,
Port of Bauan,"Bauan Aplaya, Batangas",Sea Port,13.7608136,0,0,N,121.0487057,0,0,E,,
Port of Burdeos,"Brgy. San Rafael, Burdeos Quezon , Polillo Island",Sea Port,14.84984,0,0,N,121.9793,0,0,E,,
Port of Calatagan,"Calatagan, Batangas",Sea Port,13.822274,0,0,N,120.628439,0,0,E,,
Port of Cawit (Boac),"Boac, Marinduque",Sea Port,13.382381,0,0,N,121.821748,0,0,E,,
Port of Cotta,"Brgy. Cotta, Lucena City",Sea Port,13.912871,0,0,N,121.606112,0,0,E,,
Port of Gumaca (Villa Bota),"Brgy. Villabota, Gumaca, Quezon",Sea Port,13.923666,0,0,N,122.098988,0,0,E,,
Port of Jomalig,"Jomalig, Quezon Polillo Island",Sea Port,14.701899,0,0,N,122.325285,0,0,E,,
Port of Lopez,"Lopez, Quezon",Sea Port,13.897151,0,0,N,122.228413,0,0,E,,
Port of Lucena (Dalahican),"Brgy. Talao-Talao, Lucena City",Sea Port,13.942867,0,0,N,121.6457445,0,0,E,,
Port of Lucena (Dalahican),Dalahican Ferry Terminal,Sea Port,13.905971,0,0,N,121.626503,0,0,E,,
Port of Mauban,"Poblacion, Mauban Quezon",Sea Port,14.191731,0,0,N,121.735031,0,0,E,,
Port of Mulanay,"Malunay, Quezon",Sea Port,13.51996,0,0,N,122.403266,0,0,E,,
Port of Nasugbu,"Brgy. Wawa, Nasugbu, Batangas",Sea Port,14.082535,0,0,N,120.620619,0,0,E,,
Port of Pagbilao,,Sea Port,13.966781,0,0,N,121.688969,0,0,E,,
Port of Panukulan,"Panukulan, Quezon Polillo Island",Sea Port,14.932417,0,0,N,121.816044,0,0,E,,
Port of Patnanungan,"Patnanungan, Quezon",Sea Port,14.752931,0,0,N,122.217968,0,0,E,,
Port of Poctoy (Odiongan),"Brgy. Batiano, Odiongan, Romblon",Sea Port,12.417678,0,0,N,121.988627,0,0,E,,
Port of Polilio,"Polillo, Quezon",Sea Port,14.714297,0,0,N,121.93541,0,0,E,,
Port of Real,"Brgy. Ungos, Real Quezon",Sea Port,14.67099,0,0,N,121.61342,0,0,E,,
Port of Romblon,"Romblon, Romblon",Sea Port,12,35,0,N,122,16,0,E,,
Port of San Andres,"San Andres, Quezon",Sea Port,13.322466,0,0,N,122.679021,0,0,E,,
Port of San Agustin,"San Agustin, Romblon",Sea Port,12.567773,0,0,N,122.135793,0,0,E,,
Port of San Juan,"Brgy. Subukin, San Juan Batangas",Sea Port,13.722206,0,0,N,121.449215,0,0,E,,
Port of Sta. Cruz,"Brgy. Buyabod, Sta. Cruz Marinduque",Sea Port,13,28,0,N,122,3,0,E,,
PMO CAGAYAN DE ORO,,,,,,,,,,,,
Port of Cagayan de Oro,"Brgy. Macabalan, Cagayan de Oro City",Sea Port,8,29.2,0,N,124,40.7,0,E,,
"Port of Benoni, TMO Benoni","Benoni, Municipality of Mahinog, Camiguin",Sea Port,9.139323,0,0,N,124.793932,0,0,E,,
