name,status,lat,lng,desc
Roosevelt Station,Operational,"14°39'27.20""N","121° 1'16.29""E",Light Rail Transit Line 1
Balintawak Station,Operational,"14°39'26.68""N","121° 0'13.23""E",Light Rail Transit Line 1
Monumento Station,Operational,"14°39'15.60""N","120°59'2.06""E",Light Rail Transit Line 1
5th Avenue Station,Operational,"14°38'39.54""N","120°59'0.85""E",Light Rail Transit Line 1
R. Papa Station,Operational,"14°38'9.40""N","120°58'56.26""E",Light Rail Transit Line 1
Abad Santos Station,Operational,"14°37'50.31""N","120°58'53.03""E",Light Rail Transit Line 1
Blumentritt Station,Operational,"14°37'21.39""N","120°58'58.49""E",Light Rail Transit Line 1
Tayuman Station,Operational,"14°36'59.89""N","120°58'57.90""E",Light Rail Transit Line 1
Bambang Station,Operational,"14°36'40.47""N","120°58'56.99""E",Light Rail Transit Line 1
Doroteo Jose Station,Operational,"14°36'19.16""N","120°58'55.34""E",Light Rail Transit Line 1
Carriedo Station,Operational,"14°35'56.25""N","120°58'52.74""E",Light Rail Transit Line 1
Central Terminal Station,Operational,"14°35'33.82""N","120°58'53.85""E",Light Rail Transit Line 1
United Nations Station,Operational,"14°34'56.53""N","120°59'4.99""E",Light Rail Transit Line 1
Pedro Gil Station,Operational,"14°34'35.60""N","120°59'16.96""E",Light Rail Transit Line 1
Quirino Station,Operational,"14°34'13.06""N","120°59'29.53""E",Light Rail Transit Line 1
Vito Cruz Station,Operational,"14°33'48.39""N","120°59'41.12""E",Light Rail Transit Line 1
Gil Puyat Station,Operational,"14°33'15.47""N","120°59'49.54""E",Light Rail Transit Line 1
Libertad Station,Operational,"14°32'51.66""N","120°59'55.01""E",Light Rail Transit Line 1
EDSA Station,Operational,"14°32'19.42""N","121° 0'2.42""E",Light Rail Transit Line 1
Baclaran Station,Operational,"14°32'3.48""N","120°59'54.03""E",Light Rail Transit Line 1
Recto Station,Operational,"14°36'12.54""N","120°59'0.75""E",Light Rail Transit Line 2
Legarda Station,Operational,"14°36'2.95""N","120°59'33.11""E",Light Rail Transit Line 2
Pureza Station,Operational,"14°36'5.99""N","121° 0'18.54""E",Light Rail Transit Line 2
V. Mapa Station,Operational,"14°36'14.74""N","121° 1'1.81""E",Light Rail Transit Line 2
J. Ruiz Station,Operational,"14°36'38.01""N","121° 1'34.34""E",Light Rail Transit Line 2
Gilmore Station,Operational,"14°36'48.62""N","121° 2'3.34""E",Light Rail Transit Line 2
Betty-Go Belmonte Station,Operational,"14°37'6.60""N","121° 2'33.68""E",Light Rail Transit Line 2
Araneta Center-Cubao Station,Operational,"14°37'22.05""N","121° 3'10.79""E",Light Rail Transit Line 2
Anonas Station,Operational,"14°37'40.62""N","121° 3'53.02""E",Light Rail Transit Line 2
Katipunan Station,Operational,"14°37'51.74""N","121° 4'22.87""E",Light Rail Transit Line 2
Santolan Station,Operational,"14°37'19.34""N","121° 5'9.74""E",Light Rail Transit Line 2
