,AIRPORT,IATA,ICAO,CITY/PROVINCE,REGION,CLASSIFICATION,COORDINATES,AUTHORITY,,,
,,,,,,,,,,,
1,Loakan (Baguio) Airport,BAG,RPUB,Baguio City,CAR,National,16 22 30.3151 N 120 37 8.1917 E,CAAP,,,
2,Laoag International Airport,LAO,RPLI,Ilocos Norte,I,International,18 10 39.9971 N 120 31 52.5530 E,CAAP,,,
3,Lingayen Airport,,RPUG,Pangasinan,I,Community,16 02 04.3028 N 120 14 48.1698 E,CAAP,,,
4,Rosales Airport,,RPLR,Pangasinan,I,National,15 52 54.3277 N 120 37 05.1656 E,CAAP,,,
5,Mindoro (Vigan) Airport,VGN,RPUQ,Ilocos Sur,I,National,17 33 13.9719 N 120 21 05.2110 E,CAAP,,,
6,Bagabag Airport,,RPUZ,Nueva Vizcaya,II,Community,16 37 10.1498 N 121 15 05.1841 E,CAAP,,,
7,Basco Airport,BSO,RPUO,Batanes,II,National,20 27 01.3348 N 121 58 43.2991 E,CAAP,,,
8,Cauayan Airport,CYZ,RPUY,Isabela,II,Community,16 55 47.20262 N 121 45 11.91384 E,CAAP,,,
9,Itbayat Airport,,RPLT (RPXI),Batanes,II,Community,20 43 14.2869 N 121 49 35.3089 E,CAAP,,,
10,Palanan Airport,,RPLN (RPPA),Isabela,II,National,17 03 48.0232 N 122 25 56.1929 E,CAAP,,,
11,Tuguegarao Airport,TUG,RPUT,Cagayan,II,National,17 38 17.9175 N 121 43 50.2113 E,CAAP,,,
12,Iba Airport,,RPUI,Zambales,III,Community,15 19 53.8213 N 119 58 05.1856 E,CAAP,,,
13,Subic Bay International Airport,SFS,RPLB (RPMB),Bataan,III,International,14 47 40.016 N 120 16 16.917 E,SBIA,,,
14,Clark International Airport,CRK,RPLC (RPMK),Pampanga,III,International,15 11 09.5607 N 120 33 37.1658 E,CIAC,,,
15,Plaridel Airport,,RPUX,Bulacan,III,Community,14 53 29.5445 N 120 51 11.1410 E,CAAP,,,
16,Ninoy Aquino International Airport,MNL,RPLL (RPMM),Metro Manila,NCR,International,14 30 35.788 N 121 00 49.892 E,MIAA,,,
17,Alabat Airport,,RPLY (RPXT),Quezon,IV-A,National,14 13 58.6722 N 121 55 43.1236 E,CAAP,,,
18,Dr. Juan C. Angara (Baler) Airport,BQA,RPUR,Aurora,III,National,15 43 46.3405 N 121 30 13.1604 E,CAAP,,,
19,Francisco B. Reyes Airport (Busuanga) Airport,USU,RPVV,Palawan,IV-B,Principal Class 2,12 07 14.2071 N 120 05 46.0825 E,CAAP,,,
20,Calapan Airport,CPP,RPUK,Oriental Mindoro,IV-B,National,13 25 00.3982 N 121 12 06.4575 E,CAAP,,,
21,Cuyo Airport,CYU,RPLO (RPCU),Palawan,IV-B,National,10 51 40.4961 N 121 04 05.0592 E,CAAP,,,
22,Jomalig Airport,,RPIJ (RPXJ),Quezon,IV-A,Community,14 43 24.5485 N 122 24 05.1333 E,CAAP,,,
23,Mamburao Airport,MBO,RPUM,Occidental Mindoro,IV-B,National,13 12 14.9401 N 120 36 28.1038 E,CAAP,,,
24,Marinduque Airport,MRQ,RPUW,Marinduque,IV-B,Principal Class 2,13 19 37.8862 N 121 50 55.1041 E,CAAP,,,
25,Puerto Princesa International Airport,PPS,RPVP,Palawan,IV-B,International,09 44 31.6330 N 118 45 31.4280 E,CAAP,,,
26,Tugdan (Romblon) Airport,TBH,RPVU,Romblon,IV-B,Principal Class 2,12 18 33.4652 N 122 04 34.3530 E,CAAP,,,
27,San Jose Airport,SJI,RPUH,Occidental Mindoro,IV-B,Principal Class 1,12 21 30.1326 N 121 02 47.0863 E,CAAP,,,
28,Pinamalayan Airport,,RPLA,Oriental Mindoro,IV-B,National,12 58 34.14 N 121 25 26.76 E,CAAP,,,
29,Wasig (Mansalay) Airport,,RPLG,Oriental Mindoro,IV-B,National,12 32 04.7821 N 121 28 58.0889 E,CAAP,,,
30,Bulan Airport,,RPUU,Sorsogon,V,National,12 41 05.0006 N 123 51 42.0823 E,CAAP,,,
31,Bagasbas (Daet) Airport,DTE,RPUD,Camarines Norte,V,National,14 07 54.6732 N 122 59 15.1174 E,CAAP,,,
32,Legazpi Airport,LGP,RPLP,Albay,V,National,13 09 43.1479 N 123 44 04.4227 E,CAAP,,,
33,Moises R. Espinosa (Masbate) Airport,MBT,RPVJ,Masbate,V,Principal Class 2,12 21 55.0829 N 123 37 05.0774 E,CAAP,,,
34,Naga (Pili) Airport,WNP,RPUN,Camarines Sur,V,National,13 34 51.7974 N 123 15 43.1040 E,CAAP,,,
35,Virac Airport,VRC,RPUV,Catanduanes,V,Principal Class 2,13 34 32.7792 N 124 12 54.0985 E,CAAP,,,
