Route Id,Route Id,Dept Time,Arr Time,Frequency,Origin,Dest,Active
PR,2031,8:40:00,9:35:00,0b1111111,219,222,TRUE
PR,2027,11:10:00,12:05:00,0b1111111,219,222,FALSE
PR,2033,14:40:00,15:35:00,0b1111111,219,222,TRUE
,,,,,,,
PR,2032,9:55:00,10:50:00,0b1111111,222,219,TRUE
PR,2028,12:25:00,13:20:00,0b1111111,222,219,FALSE
PR,2034,15:55:00,16:50:00,0b1111111,222,219,TRUE
,,,,,,,
,,,,,Manila,Butuan,
PR,2967,5:10:00,6:35:00,0b1111111,219,270,TRUE
,,,,,,,
PR,2968,7:15:00,8:45:00,0b0101010,270,219,TRUE
PR,2966,10:05:00,11:35:00,0b1010101,270,219,TRUE
,,,,,,,
,,,,,Manila,Cagayan de Oro,
PR,2519,4:45:00,6:20:00,0b1111111,219,284,FALSE
PR,1519,4:45:00,6:20:00,0b1111111,219,284,TRUE
PR,2521,9:35:00,11:10:00,0b1111111,219,284,TRUE
PR,2527,11:45:00,13:20:00,0b1111111,219,284,TRUE
PR,2525,14:20:00,15:55:00,0b1111111,219,284,TRUE
PR,2529,18:15:00,19:50:00,0b1111111,219,284,TRUE
PR,,,,,,,
PR,2520,7:00:00,8:30:00,0b1111111,284,219,FALSE
PR,1520,7:00:00,8:30:00,0b1111111,284,219,TRUE
PR,2522,11:50:00,13:20:00,0b1111111,284,219,TRUE
PR,2528,14:00:00,15:30:00,0b1111111,284,219,TRUE
PR,2526,16:35:00,18:05:00,0b1111111,284,219,TRUE
PR,2530,20:30:00,22:00:00,0b1111111,284,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Calabayog,
PR,2071,5:15:00,6:30:00,0b1111111,219,253,TRUE
PR,,,,,,,
PR,2072,6:50:00,8:10:00,0b1111111,253,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Catarman,
PR,2079,5:15:00,6:30:00,0b1111111,219,254,TRUE
PR,,,,,,,
PR,2080,6:55:00,8:10:00,0b1111111,254,219,TRUE
PR,,,,,,,
PR,,,,,Manila Caticlan,,
PR,2039,6:00:00,7:00:00,0b1111111,219,241,TRUE
PR,2045,7:00:00,8:00:00,0b1111111,219,241,TRUE
PR,2043,8:25:00,9:25:00,0b1111111,219,241,TRUE
PR,2051,9:00:00,10:00:00,0b1111111,219,241,TRUE
PR,2059,9:40:00,10:40:00,0b1111111,219,241,TRUE
PR,2041,11:15:00,12:15:00,0b1111111,219,241,TRUE
PR,2057,11:55:00,12:55:00,0b1111111,219,241,TRUE
PR,2049,12:30:00,13:30:00,0b1111111,219,241,TRUE
PR,2063,14:05:00,15:05:00,0b1111111,219,241,TRUE
PR,2053,15:10:00,16:10:00,0b1111111,219,241,TRUE
PR,,,,,,,
PR,2040,7:20:00,8:20:00,0b1111111,241,219,TRUE
PR,2046,8:20:00,9:20:00,0b1111111,241,219,TRUE
PR,2044,9:45:00,10:45:00,0b1111111,241,219,TRUE
