Name,Description,Category,Lat-Deg,Lat-Min,Lat-Sec,Lat-Dir,Lon-Deg,Lon-Min,Lon-Sec,LonDir,Notes,
Roosevelt Station,Light Rail Transit Line 1,Rail Station,14.0,39.0,27.2,N,121.0,1.0,16.29,E,,
Balintawak Station,Light Rail Transit Line 1,Rail Station,14.0,39.0,26.68,N,121.0,0.0,13.23,E,,
Monumento Station,Light Rail Transit Line 1,Rail Station,14.0,39.0,15.6,N,120.0,59.0,2.06,E,,
5th Avenue Station,Light Rail Transit Line 1,Rail Station,14.0,38.0,39.54,N,120.0,59.0,0.85,E,,
R. Papa Station,Light Rail Transit Line 1,Rail Station,14.0,38.0,9.4,N,120.0,58.0,56.26,E,,
Abad Santos Station,Light Rail Transit Line 1,Rail Station,14.0,37.0,50.31,N,120.0,58.0,53.03,E,,
Blumentritt Station,Light Rail Transit Line 1,Rail Station,14.0,37.0,21.39,N,120.0,58.0,58.49,E,,
Tayuman Station,Light Rail Transit Line 1,Rail Station,14.0,36.0,59.89,N,120.0,58.0,57.9,E,,
Bambang Station,Light Rail Transit Line 1,Rail Station,14.0,36.0,40.47,N,120.0,58.0,56.99,E,,
Doroteo Jose Station,Light Rail Transit Line 1,Rail Station,14.0,36.0,19.16,N,120.0,58.0,55.34,E,,
Carriedo Station,Light Rail Transit Line 1,Rail Station,14.0,35.0,56.25,N,120.0,58.0,52.74,E,,
Central Terminal Station,Light Rail Transit Line 1,Rail Station,14.0,35.0,33.82,N,120.0,58.0,53.85,E,,
United Nations Station,Light Rail Transit Line 1,Rail Station,14.0,34.0,56.53,N,120.0,59.0,4.99,E,,
Pedro Gil Station,Light Rail Transit Line 1,Rail Station,14.0,34.0,35.6,N,120.0,59.0,16.96,E,,
Quirino Station,Light Rail Transit Line 1,Rail Station,14.0,34.0,13.06,N,120.0,59.0,29.53,E,,
Vito Cruz Station,Light Rail Transit Line 1,Rail Station,14.0,33.0,48.39,N,120.0,59.0,41.12,E,,
Gil Puyat Station,Light Rail Transit Line 1,Rail Station,14.0,33.0,15.47,N,120.0,59.0,49.54,E,,
Libertad Station,Light Rail Transit Line 1,Rail Station,14.0,32.0,51.66,N,120.0,59.0,55.01,E,,
EDSA Station,Light Rail Transit Line 1,Rail Station,14.0,32.0,19.42,N,121.0,0.0,2.42,E,,
Baclaran Station,Light Rail Transit Line 1,Rail Station,14.0,32.0,3.48,N,120.0,59.0,54.03,E,,
Recto Station,Light Rail Transit Line 2,Rail Station,14.0,36.0,12.54,N,120.0,59.0,0.75,E,,
Legarda Station,Light Rail Transit Line 2,Rail Station,14.0,36.0,2.95,N,120.0,59.0,33.11,E,,
Pureza Station,Light Rail Transit Line 2,Rail Station,14.0,36.0,5.99,N,121.0,0.0,18.54,E,,
V. Mapa Station,Light Rail Transit Line 2,Rail Station,14.0,36.0,14.74,N,121.0,1.0,1.81,E,,
J. Ruiz Station,Light Rail Transit Line 2,Rail Station,14.0,36.0,38.01,N,121.0,1.0,34.34,E,,
Gilmore Station,Light Rail Transit Line 2,Rail Station,14.0,36.0,48.62,N,121.0,2.0,3.34,E,,
Betty-Go Belmonte Station,Light Rail Transit Line 2,Rail Station,14.0,37.0,6.6,N,121.0,2.0,33.68,E,,
Araneta Center-Cubao Station,Light Rail Transit Line 2,Rail Station,14.0,37.0,22.05,N,121.0,3.0,10.79,E,,
Anonas Station,Light Rail Transit Line 2,Rail Station,14.0,37.0,40.62,N,121.0,3.0,53.02,E,,
Katipunan Station,Light Rail Transit Line 2,Rail Station,14.0,37.0,51.74,N,121.0,4.0,22.87,E,,
Santolan Station,Light Rail Transit Line 2,Rail Station,14.0,37.0,19.34,N,121.0,5.0,9.74,E,,
North Avenue Station,Metro Rail Transit Line 3,Rail Station,14.0,39.0,7.78,N,121.0,1.0,56.44,E,,
Quezon Avenue Station,Metro Rail Transit Line 3,Rail Station,14.0,38.0,33.51,N,121.0,2.0,18.51,E,,
Kamuning Station,Metro Rail Transit Line 3,Rail Station,14.0,38.0,6.79,N,121.0,2.0,35.93,E,,
Araneta Center-Cubao Station,Metro Rail Transit Line 3,Rail Station,14.0,37.0,9.35,N,121.0,3.0,4.31,E,,
Santolan-Annapolis Station,Metro Rail Transit Line 3,Rail Station,14.0,36.0,28.2,N,121.0,3.0,23.02,E,,
Ortigas Station,Metro Rail Transit Line 3,Rail Station,14.0,35.0,16.28,N,121.0,3.0,24.19,E,,
Shaw Boulevard Station,Metro Rail Transit Line 3,Rail Station,14.0,34.0,52.29,N,121.0,3.0,13.22,E,,
Boni Station,Metro Rail Transit Line 3,Rail Station,14.0,34.0,25.38,N,121.0,2.0,53.37,E,,
Guadalupe Station,Metro Rail Transit Line 3,Rail Station,14.0,34.0,0.64,N,121.0,2.0,43.84,E,,
Buendia Station,Metro Rail Transit Line 3,Rail Station,14.0,33.0,16.83,N,121.0,2.0,4.75,E,,
Ayala Station,Metro Rail Transit Line 3,Rail Station,14.0,32.0,57.33,N,121.0,1.0,40.66,E,,
Magallanes Station,Metro Rail Transit Line 3,Rail Station,14.0,32.0,30.85,N,121.0,1.0,9.54,E,,
Taft Avenue Station,Metro Rail Transit Line 3,Rail Station,14.0,32.0,15.32,N,121.0,0.0,6.28,E,,
Tutuban Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,36.0,40.8,N,120.0,58.0,23.19,E,,
Blumentritt Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,37.0,21.57,N,120.0,59.0,0.46,E,,
Laong-Laan Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,37.0,0.17,N,120.0,59.0,33.4,E,,
España Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,36.0,44.1,N,120.0,59.0,48.8,E,,
Sta. Mesa Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,36.0,2.87,N,121.0,0.0,37.11,E,,
Pandacan Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,35.0,24.91,N,121.0,0.0,31.69,E,,
Paco Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,34.0,44.91,N,120.0,59.0,57.32,E,,
San Andres Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,34.0,23.77,N,120.0,59.0,58.16,E,,
Vito Cruz Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,34.0,1.69,N,121.0,0.0,10.07,E,,
Buendia Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,33.0,26.08,N,121.0,0.0,29.27,E,,
Pasay Road Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,32.0,58.9,N,121.0,0.0,43.89,E,,
EDSA Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,32.0,29.95,N,121.0,0.0,59.54,E,,
Nichols Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,31.0,24.89,N,121.0,1.0,34.65,E,,
Food Terminal Inc. Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,30.0,23.49,N,121.0,2.0,7.73,E,,
Bicutan Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,29.0,16.9,N,121.0,2.0,43.59,E,,
Sucat Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,27.0,8.35,N,121.0,3.0,3.4,E,,
Alabang Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,25.0,1.37,N,121.0,2.0,51.66,E,,
Muntinlupa Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,23.0,21.38,N,121.0,2.0,51.32,E,,
San Pedro Laguna Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,21.0,36.17,N,121.0,3.0,22.96,E,,
Biñan Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,19.0,53.06,N,121.0,4.0,52.26,E,,
Sta. Rosa Laguna Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,18.0,22.52,N,121.0,6.0,35.27,E,,
Cabuyao Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,16.0,49.68,N,121.0,7.0,33.73,E,,
Mamatid Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,13.0,56.46,N,121.0,8.0,44.24,E,,
Calamba Station,Philippine National Railways - Metro Commuter Line,Rail Station,14.0,12.0,25.24,N,121.0,9.0,28.86,E,,
Sipocot Station,Philippine National Railways - Bicol Commuter Line,Rail Station,13.0,45.0,51.39,N,122.0,57.0,47.77,E,,
Libmanan Station,Philippine National Railways - Bicol Commuter Line,Rail Station,13.0,41.0,31.36,N,123.0,3.0,30.24,E,,
Pamplona Station,Philippine National Railways - Bicol Commuter Line,Rail Station,13.0,35.0,34.5,N,123.0,4.0,45.36,E,,
Naga Station,Philippine National Railways - Bicol Commuter Line,Rail Station,13.0,37.0,10.34,N,123.0,11.0,11.21,E,,
